Timestamp,Koľko rokov programujete profesionálne (akýkoľvek jazyk),Ku ktorej z uvedených rol mate najbližšie?,"Aký je primárny jazyk, ktorý používate najviac?",Aký ďalší jazyk sa v blízkej dobe chcete alebo chceli by ste sa naučiť?,Aký je váš vzťah ku Go,"Ako dlho použivate Go? (v práci, hobby projekt, učenie sa)",V Go programujete,"Odporučili by ste Go priateľom, kolegom?",Cítite sa v Go produktívny?,Bonusovka: Patria podľa vás generika do Go?
4/22/2021 9:30:47,10 rokov a viac,Návrh IT systémov a architektúra,JavaScript/TypeScript,Python,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,4,3,Nie :-)
4/22/2021 9:35:52,3 - 6 rokov,Vývoj backend systémov,Java/Kotlin/Scala,Python,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,,Ano :-)
4/22/2021 9:52:31,3 - 6 rokov,Vývoj backend systémov,Python,Go,Go sa učím alebo sa chcem naučiť,Ešte som v Go nerobil,V Go neprogramujem,4,3,Ano :-)
4/22/2021 10:18:39,Menej ako 3 roky,Vývoj mobilných aplikácii,Java/Kotlin/Scala,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,,
4/22/2021 10:37:51,10 rokov a viac,Vývoj backend systémov,Java/Kotlin/Scala,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,,Ano :-)
4/22/2021 10:48:07,10 rokov a viac,DevOps/Cloud,C/C++,Kotlin,používam Go v práci na malé vedľajšie projekty,1 - 2 roky,Hry,3,4,Nie :-)
4/22/2021 11:46:56,10 rokov a viac,Vývoj mobilných aplikácii,Swift/Objective C,Kotlin,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,1,,
4/22/2021 11:47:22,10 rokov a viac,Projekt/Produkt management,Java/Kotlin/Scala,C#,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,1,,
4/22/2021 12:06:30,10 rokov a viac,,Java/Kotlin/Scala,Kotlin,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,,
4/22/2021 12:45:19,6 - 10 rokov,Vývoj backend systémov,Go,Rust,používam Go v práci na hlavnom projekte,5 rokov a viac,"CLI nástroje, WebService aplikácie, Knižnice a frameworky",4,4,Nie :-)
4/22/2021 13:43:40,10 rokov a viac,Vývoj backend systémov,PHP,Rust,používam Go v práci na hlavnom projekte,2 - 5 rokov,"CLI nástroje, WebService aplikácie",5,5,Ano :-)
4/22/2021 13:56:27,6 - 10 rokov,Vývoj backend systémov,Java/Kotlin/Scala,Kotlin,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,,3,,
4/22/2021 14:01:00,3 - 6 rokov,Vývoj backend systémov,Python,Go,Go sa učím alebo sa chcem naučiť,Ešte som v Go nerobil,V Go neprogramujem,4,3,Ano :-)
4/22/2021 14:28:29,3 - 6 rokov,Vývoj backend systémov,Java/Kotlin/Scala,TypeScript,V Go neprogramujem ale vyzera zaujímavo,Menej ako 3 mesiace,WebService aplikácie,3,4,Ano :-)
4/22/2021 14:29:46,Menej ako 3 roky,Vývoj backend systémov,C#,Kotlin,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,1,Nie :-)
4/22/2021 14:33:57,Som študent,Data engineering,Python,TypeScript,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,,3,3,Ano :-)
